name,num_downloads,owners_and_repo
html-webpack-plugin,12894738,jantimon/html-webpack-plugin
http-parser-js,12874910,creationix/http-parser-js
@babel/runtime-corejs3,12803729,babel/babel
path-dirname,12803583,es128/path-dirname
defer-to-connect,12795698,szmarczak/defer-to-connect
pseudomap,12789006,isaacs/pseudomap
detect-node,12757498,iliakan/detect-node
split2,12719980,mcollina/split2
hmac-drbg,12691890,indutny/hmac-drbg
minimalistic-crypto-utils,12687712,indutny/minimalistic-crypto-utils
promise,12678540,then/promise
connect-history-api-fallback,12651131,bripkens/connect-history-api-fallback
querystringify,12622515,unshiftio/querystringify
yauzl,12617590,thejoshwolfe/yauzl
jest-jasmine2,12611854,facebook/jest
is-absolute-url,12567473,sindresorhus/is-absolute-url
number-is-nan,12528965,sindresorhus/number-is-nan
duplexer,12496245,Raynos/duplexer
default-gateway,12490910,silverwind/default-gateway
websocket-extensions,12453376,faye/websocket-extensions-node
pretty-error,12445497,AriaMinaei/pretty-error
prr,12357245,rvagg/prr
lodash.isstring,12346268,lodash/lodash
errno,12343944,rvagg/node-errno
renderkid,12325212,AriaMinaei/RenderKid
import-lazy,12319528,sindresorhus/import-lazy
simple-swizzle,12313701,Qix-/node-simple-swizzle
minipass-pipeline,12302454,
source-list-map,12302321,webpack/source-list-map
symbol-observable,12292658,benlesh/symbol-observable
fs-constants,12269334,mafintosh/fs-constants
invariant,12253799,zertosh/invariant
strict-uri-encode,12208195,kevva/strict-uri-encode
wcwidth,12206149,timoxley/wcwidth
code-point-at,12203196,sindresorhus/code-point-at
minipass-flush,12188935,isaacs/minipass-flush
minipass-collect,12188707,
stream-browserify,12164158,browserify/stream-browserify
array-uniq,12132719,sindresorhus/array-uniq
pend,12126817,andrewrk/node-pend
html-minifier-terser,12088493,DanielRuf/html-minifier-terser
is-installed-globally,12048548,sindresorhus/is-installed-globally
hash-base,11990615,crypto-browserify/hash-base
csso,11987314,css/csso
define-lazy-prop,11969516,sindresorhus/define-lazy-prop
is-path-cwd,11968616,sindresorhus/is-path-cwd
assert,11961031,browserify/commonjs-assert
@hapi/hoek,11934727,hapijs/hoek
clone-response,11848153,lukechilds/clone-response
es6-symbol,11843112,medikoo/es6-symbol
webpack-dev-server,11827516,webpack/webpack-dev-server
pascal-case,11816090,blakeembrey/change-case
sort-keys,11807023,sindresorhus/sort-keys
